[Friday/February 20/02/2026 02:22:49] /mnt/Data/Music_Collection/Haftbefehl (6 Untagged)/Russisch Roulette (2014 Deluxe)/CD 1/03. Haftbefehl - Lass Die Affen Aus'm Zoo.mp3 | length=207.88825555556 | time=5.8389469154218
[Friday/February 20/02/2026 02:25:34] /home/yannik/Videos/OBS/2026-01-12 19-57-03.mp4 | length=825.45 | time=80.616666666667
[Friday/February 20/02/2026 02:25:37] /home/yannik/Videos/OBS/2026-02-02 23-37-45.mp4 | length=1119.15 | time=545.55
[Friday/February 20/02/2026 02:25:37] /home/yannik/Videos/OBS/2026-02-02 23-36-24.mp4 | length=6.1333333333333 | time=2.483333
[Friday/February 20/02/2026 02:25:38] /home/yannik/Videos/OBS/2026-01-05 18-14-58.mp4 | length=420.8 | time=0.3
[Friday/February 20/02/2026 02:25:38] /home/yannik/Videos/OBS/2026-01-05 18-13-10.mp4 | length=82.8 | time=0.1
[Friday/February 20/02/2026 02:26:29] /home/yannik/Videos/OBS/2026-01-03 13-42-26.mp4 | length=428.53333333333 | time=50.983333333333
[Friday/February 20/02/2026 02:30:14] /home/yannik/Videos/OBS/2026-02-02 23-10-19.mp4 | length=1293.8166666667 | time=11.316666666667
[Friday/February 20/02/2026 02:30:24] /mnt/Data/Music_Collection/Haftbefehl (6 Untagged)/Russisch Roulette (2014 Deluxe)/CD 1/03. Haftbefehl - Lass Die Affen Aus'm Zoo.mp3 | length=207.88825555556 | time=15.32746491712
[Friday/February 20/02/2026 02:50:30] /home/yannik/Videos/OBS/2025-12-20 02-28-18.mp4 | length=65.133333333333 | time=8.9333333333333
[Friday/February 20/02/2026 03:13:06] /home/yannik/Videos/OBS/2026-02-02 23-10-19.mp4 | length=1293.8166666667 | time=10.666666666667
[Friday/February 20/02/2026 03:13:08] /home/yannik/Videos/OBS/2026-02-02 23-36-24.mp4 | length=6.1333333333333 | time=1.8333333333333
[Friday/February 20/02/2026 03:13:23] /home/yannik/Videos/OBS/2026-01-12 19-57-03.mp4 | length=825.45 | time=187.5
[Friday/February 20/02/2026 03:16:28] /mnt/Data/Music_Collection/Haftbefehl (6 Untagged)/Russisch Roulette (2014 Deluxe)/CD 1/07. Haftbefehl - Russisch Roulette.mp3 | length=150.83682539683 | time=37.434715575948
[Friday/February 20/02/2026 03:16:47] /home/yannik/Videos/OBS/2026-02-02 23-10-19.mp4 | length=1293.8166666667 | time=29
[Friday/February 20/02/2026 03:16:58] /mnt/Data/Music_Collection/Haftbefehl (6 Untagged)/Russisch Roulette (2014 Deluxe)/CD 1/07. Haftbefehl - Russisch Roulette.mp3 | length=150.83682539683 | time=44.689627975789
[Friday/February 20/02/2026 03:17:12] /mnt/Data/Music_Collection/Haftbefehl (6 Untagged)/Russisch Roulette (2014 Deluxe)/CD 1/07. Haftbefehl - Russisch Roulette.mp3 | length=150.83682539683 | time=55.170849947191
[Friday/February 20/02/2026 03:17:38] /home/yannik/Videos/OBS/2026-01-12 19-57-03.mp4 | length=825.45 | time=212.38333333333
[Friday/February 20/02/2026 04:40:18] /home/yannik/Downloads/Paula Hartmann - Uludağ und Sorgen (feat. Symba) (Official Video).mp3 | length=186.44464583333 | time=34.543696933944
[Friday/February 20/02/2026 04:44:25] /mnt/Data/Music_Collection/Paula Hartmann/kleine Feuer (2024)/14. Paula Hartmann & Symba - Uludağ und Sorgen (Vinyl Bonus).mp3 | length=186.44464583333 | time=2.2394505742766
[Friday/February 20/02/2026 04:44:29] /mnt/Data/Music_Collection/Paula Hartmann/kleine Feuer (2024)/15. Paula Hartmann & makko - nimm mit (Vinyl Bonus).mp3 | length=159.3934 | time=2.6341003142766
[Friday/February 20/02/2026 05:02:54] /run/user/1000/doc/28f06474/ICarly.S06E05.1080p.WEB-DL.AAC2.0.H.264.mp4 | length=1423.381 | time=1417.4994111111
[Friday/February 20/02/2026 19:36:13] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/2026/5. Winter Vertical/EXP/#12_Winter_Vertical_26-01-26_4K-60FPS-libx264-FLAC.mp4 | length=21.984 | time=3.9666666666667
[Friday/February 20/02/2026 22:16:12] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#5_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.232 | time=3.65
[Friday/February 20/02/2026 22:21:16] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/2. Wart einfach ab/EXP/#5_Wart einfach ab_Vertical_D19-M02-Y26_4K-60FPS-FLAC.mp4 | length=11.232 | time=7.1666666666667
[Friday/February 20/02/2026 22:24:20] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#1_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.264 | time=2
[Friday/February 20/02/2026 22:33:45] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#3_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.36 | time=6.5166666666667
[Friday/February 20/02/2026 22:33:51] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#3_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.36 | time=9.4666666666667
[Friday/February 20/02/2026 22:33:57] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#3_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.36 | time=10.15
[Friday/February 20/02/2026 22:34:00] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#1_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.264 | time=3.6166666666667
[Friday/February 20/02/2026 22:34:47] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#2_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.264 | time=8.0166666666667
[Friday/February 20/02/2026 22:34:53] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#2_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.264 | time=10.566666666667
[Friday/February 20/02/2026 22:34:58] /mnt/Data/OUT$IDERZ/VISUALS/Videos (YT + Socials)/Vertical Videos/IN DA PIPELINE/### Außenseiter Vertical/3. Kurt Cobain/EXP/#2_Kurt Cobain_Vertical_D20-M02-Y26_4K-60FPS-FLAC.mp4 | length=15.264 | time=12.05
